name,email,phone,bio_url,img_url,city,state,population,city_site_url,next_election
Robert Gonzales,robertgonzales@azusaca.gov,626-812-5243,,https://i2.wp.com/secure.usmayors.org/mayorphotos/0034N00002lFyhM.jpg?w=1100&ssl=1,Azusa,CA, 49958,http://www.ci.azusa.ca.us,2022-04-05
Steve Vaus,svaus@poway.org,858-668-4522,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Vaus_Steve!951.JPG?w=1100&ssl=1,Poway,CA, 49704,http://www.ci.poway.ca.us,2022-11-08
Rey Santos,rsantos@beaumontca.gov,951-769-8520,http://beaumontca.gov/930/Mayor-Rey-Santos,https://i2.wp.com/secure.usmayors.org/mayorphotos/Santos_Rey!54969.jpg?w=1100&ssl=1,Beaumont,CA, 49241,http://ci.beaumont.ca.us,2021-01-01
Rob Johnson,rjohnson@cypressca.org,714-229-6699,https://www.cypressca.org/government/city-council/council-member-rob-johnson,https://i2.wp.com/secure.usmayors.org/mayorphotos/Johnson_Rob!54904.jpg?w=1100&ssl=1,Cypress,CA, 48958,http://www.ci.cypress.ca.us,2020-12-01
Andrew Kotyuk,akotyuk@sanjacintoca.gov,951-537-6359,https://hsjchronicle.com/andrew-kotyuk/,https://i1.wp.com/secure.usmayors.org/mayorphotos/Kotyuk_Andrew!54937.jpg?w=1100&ssl=1,San Jacinto,CA, 48867,http://www.sanjacintoca.gov,2020-12-01
Chris Vierra,cvierra@ci.ceres.ca.us,209-538-5692,http://www.ci.ceres.ca.us/3002.html,https://i2.wp.com/secure.usmayors.org/mayorphotos/Vierra_Chris!3222.JPG?w=1100&ssl=1,Ceres,CA, 48769,http://www.ci.ceres.ca.us,2020-11-03
John Lewis,jlewis@cityoflamirada.org,562-943-0131,https://www.cityoflamirada.org/departments/administration/city-council-biographies,https://i2.wp.com/secure.usmayors.org/mayorphotos/0034N00002iS623.jpg?w=1100&ssl=1,La Mirada,CA, 48683,http://www.cityoflamirada.org,2021-04-13
Geoff Kors,geoff.kors@palmspringsca.gov,760-323-8200,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Kors_Geoff!54930.jpg?w=1100&ssl=1,Palm Springs,CA, 48375,http://ci.palm-springs.ca.us,2020-12-01
Brad McGirr,bmcgirr@cityofrsm.org,949-635-1800,http://ca-ranchosantamargarita.civicplus.com/directory.aspx?EID=8,https://i0.wp.com/secure.usmayors.org/mayorphotos/McGirr_Brad!54981.jpg?w=1100&ssl=1,Rancho Santa Margarita,CA, 48325,http://cityofrsm.org,2021-01-01
Alan L. Nagy,alan.nagy@newark.org,510-578-4000x110,http://www.ci.newark.ca.us/departments/city-council/mayor-alan-l-nagy/,https://i2.wp.com/secure.usmayors.org/mayorphotos/Nagy_Alan!810.JPG?w=1100&ssl=1,Newark,CA, 48198,http://www.ci.newark.ca.us,2020-11-03
Dan Karleskint,dan.karleskint@lincolnca.gov,916-434-2490,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Karleskint_Dan!54921.jpg?w=1100&ssl=1,Lincoln,CA, 47978,http://ci.lincoln.ca.us,2020-12-01
Victor Linares,vlinares@covinaca.gov,626-384-5410,,https://i0.wp.com/secure.usmayors.org/mayorphotos/0034N00002lFypp.jpg?w=1100&ssl=1,Covina,CA, 47963,http://www.covinaca.gov,2021-04-06
Heidi Harmon,hharmon@slocity.org,805-781-7123,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Harmon_Heidi!53620.jpg?w=1100&ssl=1,San Luis Obispo,CA, 47446,http://www.ci.san-luis-obispo.ca.us,2020-11-03
Steven Hernandez,shernandez@coachella.org,760-398-3502,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Hernandez_Steven!3364.JPG?w=1100&ssl=1,Coachella,CA, 45839,http://coachella.org,2020-11-03
Rich Constantine,rich.constantine@morganhill.ca.gov,408-779-7259,http://www.morgan-hill.ca.gov/DocumentCenter/View/24116/Rich-Constantine-Bio-12-10-18,https://i0.wp.com/secure.usmayors.org/mayorphotos/Constantine_Rich!54511.jpg?w=1100&ssl=1,Morgan Hill,CA, 45135,http://www.morgan-hill.ca.gov,2020-11-03
Karen Stepper,kstepper@danville.ca.gov,925-998-8865,https://www.danville.ca.gov/Directory.aspx?EID=66,https://i2.wp.com/secure.usmayors.org/mayorphotos/Stepper_Karen!54789.jpg?w=1100&ssl=1,Danville,CA, 44650,http://danville.ca.gov,2020-12-01
Efrain Silva,esilva@cityofelcentro.org,760-337‐3211,http://www.cityofelcentro.org/userfiles/Efrain%20Silva%20Bio%202018(1).pdf,https://i2.wp.com/secure.usmayors.org/mayorphotos/Silva_Efrain!54973.jpg?w=1100&ssl=1,El Centro,CA, 44120,http://www.cityofelcentro.org,2021-01-01
Joseph T. Callinan,jcallinan@rpcity.org,707-588-2223,https://www.rpcity.org/city_hall/city_council/meet_my_city_council/joseph_t__callinan__mayor,https://i0.wp.com/secure.usmayors.org/mayorphotos/Callinan_Joseph!54982.jpg?w=1100&ssl=1,Rohnert Park,CA, 43753,http://www.rpcity.org,2021-01-01
Marty Simonoff,martys@ci.brea.ca.us,714-990-7700,http://www.ci.brea.ca.us/Directory.aspx?EID=6,https://i1.wp.com/secure.usmayors.org/mayorphotos/Simonoff_Marty!54896.jpg?w=1100&ssl=1,Brea,CA, 43601,http://www.ci.brea.ca.us,2020-12-01
Rico E. Medina,rmedina@sanbruno.ca.gov,650-616-7060,https://www.sanbruno.ca.gov/gov/elected_officials/mayor_rico_e_medina.htm,https://i1.wp.com/secure.usmayors.org/mayorphotos/Medina_Rico!53978.jpg?w=1100&ssl=1,San Bruno,CA, 43047,http://sanbruno.ca.gov,2020-11-03
Jenelle Osborne,j_osborne@ci.lompoc.ca.us,805-736-1261,https://www.vote4osborne.com/bio/,https://i0.wp.com/secure.usmayors.org/mayorphotos/Osborne_Jenelle!54546.jpg?w=1100&ssl=1,Lompoc,CA, 42760,https://www.cityoflompoc.com,2020-11-03
Susan M. Landry,susanl@campbellca.gov,408-866-2130,https://www.ci.campbell.ca.us/766/Susan-M-Landry,https://i0.wp.com/secure.usmayors.org/mayorphotos/Landry_Susan!54784.jpg?w=1100&ssl=1,Campbell,CA, 42466,http://www.ci.campbell.ca.us,2020-12-01
Alejandra Cortez,acortez@bellgardens.org,562-806-7700,https://www.bellgardens.org/government/city-council/mayor-alejandra-cortez,https://i0.wp.com/secure.usmayors.org/mayorphotos/Cortez_Alejandra!54460.jpg?w=1100&ssl=1,Bell Gardens,CA, 42331,http://www.bellgardens.org,2020-12-01
Kevin Romick,kevin@romick.net,925-625-7007,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Romick_Kevin!54928.jpg?w=1100&ssl=1,Oakley,CA, 42129,http://www.ci.oakley.ca.us,2020-12-01
John Cruikshank,john.cruikshank@rpvca.gov,310-544-5200,http://www.rpvca.gov/1061/Mayor-John-Cruikshank,https://i2.wp.com/secure.usmayors.org/mayorphotos/Cruikshank_John!54933.jpg?w=1100&ssl=1,Rancho Palos Verdes,CA, 41928,http://www.rpvca.gov,2020-12-01
Linda Evans,levans@laquintaca.gov,760-777-7030,http://www.la-quinta.org/your-government/city-council/council-member-profiles,https://i2.wp.com/secure.usmayors.org/mayorphotos/Evans_Linda!3504.jpg?w=1100&ssl=1,La Quinta,CA, 41535,http://www.la-quinta.org,2020-11-03
Denise Menchaca,dmenchaca@sgch.org,626-308-2803,https://www.sangabrielcity.com/1253/Denise-Menchaca,https://i0.wp.com/secure.usmayors.org/mayorphotos/0034N00002lFybx.jpg?w=1100&ssl=1,San Gabriel,CA, 40335,http://www.sangabrielcity.com,2021-04-06
Rosie Arreola-Fernandez,rfernandez@calexico.ca.gov,760-768-2110,,https://i2.wp.com/secure.usmayors.org/mayorphotos/0034N00002xaCQ1.jpg?w=1100&ssl=1,Calexico,CA, 40139,http://www.calexico.ca.gov,2021-07-06
Mike Villalta,mike.villalta@losbanos.org,209-827-2425,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Villalta_Mike!3506.jpg?w=1100&ssl=1,Los Banos,CA, 40074,http://losbanos.org,2020-11-03
Charlie Klinakis,cklinakis@lapuente.org,626-926-0821,https://www.lapuente.org/government/mayor-city-council/council-member-john-solis,https://i2.wp.com/secure.usmayors.org/mayorphotos/Klinakis_Charlie!54917.jpg?w=1100&ssl=1,La Puente,CA, 39908,http://www.lapuente.org,2020-12-01
Ignacio Velazquez,ignaciovelazquez@hotmail.com,831-905-3720,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Velazquez_Ignacio!3221.JPG?w=1100&ssl=1,Hollister,CA, 39749,http://hollister.ca.gov,2020-11-03
John Dutrey,jdutrey@ci.montclair.ca.us,909-625-9415,https://www.cityofmontclair.org/city-government/city-council/city-council-biographies,https://i2.wp.com/secure.usmayors.org/mayorphotos/Dutrey_John!54510.jpg?w=1100&ssl=1,Montclair,CA, 39437,http://www.ci.montclair.ca.us,2020-12-01
G�ran Eriksson,goran.eriksson@culvercity.org,310-559-6015,https://www.culvercity.org/city-hall/city-government/city-council/goran-eriksson,https://i0.wp.com/secure.usmayors.org/mayorphotos/0034N00002iSc1w.jpg?w=1100&ssl=1,Culver City,CA, 39214,http://www.culvercity.org,2020-11-03
Deirdre Martin,martind@ci.pacifica.ca.us,215-806-8217,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Martin_Deirdre!54929.jpg?w=1100&ssl=1,Pacifica,CA, 38759,http://www.cityofpacifica.org,2020-12-01
Rob Schroder,rschroder@cityofmartinez.org,925-372-3512,,https://i0.wp.com/secure.usmayors.org/mayorphotos/Schroder_Rob!702.JPG?w=1100&ssl=1,Martinez,CA, 38402,http://www.cityofmartinez.org,2022-11-08
David J. Shawver,dshawver@ci.stanton.ca.us,714-379-9222,http://www.ci.stanton.ca.us/Portals/0/Documents/Departments/Administration/City%20Council%20Bios/Shawver%20-%20Current.pdf?ver=2017-04-11-210224-790,https://i2.wp.com/secure.usmayors.org/mayorphotos/Shawver_David!54130.jpg?w=1100&ssl=1,Stanton,CA, 38234,http://www.ci.stanton.ca.us,2022-11-08
Dustin Nigg,dnigg@cityofwildomar.org,951-743-5525,http://www.cityofwildomar.org/government/city_council/mayor_dustin_nigg,https://i0.wp.com/secure.usmayors.org/mayorphotos/Nigg_Dustin!54990.jpg?w=1100&ssl=1,Wildomar,CA, 37280,http://cityofwildomar.org,2021-01-01
Lindsey P. Horvath,lhorvath@weho.org,323-848-6460,"https://www.weho.org/city-government/city-council/councilmembers/mayor-lindsey-p-horvath#:~:text=323)%20848%2D6460-,Mayor%20Lindsey%20P.,two%20years%20from%202009%2D2011.&text=She%20has%20spearheaded%20policies%20to,serve%20residents%20of%20all%20ages.",https://i0.wp.com/secure.usmayors.org/mayorphotos/Horvath_Lindsey!1249.jpg?w=1100&ssl=1,West Hollywood,CA, 36854,http://www.weho.org,2021-04-19
Tom Adams,thomas.adams@century21.com,626-932-5501,https://www.cityofmonrovia.org/your-government/city-council/meet-the-city-council,https://i0.wp.com/secure.usmayors.org/mayorphotos/Adams_Tom!764.JPG?w=1100&ssl=1,Monrovia,CA, 36715,http://www.cityofmonrovia.org,2022-03-08
Janice Parvin,jparvin@ci.moorpark.ca.us,805-517-6221,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Parvin_Janice!3242.JPG?w=1100&ssl=1,Moorpark,CA, 36576,http://www.ci.moorpark.ca.us,2020-11-03
Larry Schroeder,lschroeder@ci.claremont.ca.us,909-399-5444,https://www.ci.claremont.ca.us/government/city-council,https://i2.wp.com/secure.usmayors.org/mayorphotos/Schroeder_Larry!53429.jpg?w=1100&ssl=1,Claremont,CA, 36478,http://www.ci.claremont.ca.us,2020-12-01
Tom Chavez,tchavez@templecity.us,626-285-2171,http://ca-templecity.civicplus.com/378/Mayor-Tom-Chavez,https://i1.wp.com/secure.usmayors.org/mayorphotos/0034N00002dfHVS.jpg?w=1100&ssl=1,Temple City,CA, 36120,http://www.ci.temple-city.ca.us,2021-03-02
Troy Bourne,tbourne@sanjuancapistrano.org,949-443-6315,http://sanjuancapistrano.org/Government/City-Council/Mayor-Troy-A-Bourne,https://i2.wp.com/secure.usmayors.org/mayorphotos/Bourne_Troy!54984.jpg?w=1100&ssl=1,San Juan Capistrano,CA, 36013,http://www.sanjuancapistrano.org,2021-01-01
Ali Saleh,asaleh@cityofbell.org,323-588-6211,http://www.cityofbell.org/?NavID=236,https://i1.wp.com/secure.usmayors.org/mayorphotos/Saleh_Ali!54725.jpg?w=1100&ssl=1,Bell,CA, 35728,http://www.cityofbell.org,2021-05-11
Richard Montgomery,rmontgomery@citymb.info,310-802-5053,https://gradesofgreen.org/who-we-are/board/richard-montgomery/,https://i1.wp.com/secure.usmayors.org/mayorphotos/0034N00002df1kk.jpg?w=1100&ssl=1,Manhattan Beach,CA, 35532,http://www.citymb.info,2020-12-01
Matthew Rinn,mrinn@ci.pleasant-hill.ca.us,925-671-5270,http://www.ci.pleasant-hill.ca.us/1200/Matthew-Rinn-Mayor,https://i1.wp.com/secure.usmayors.org/mayorphotos/Rinn_Matthew!54932.jpg?w=1100&ssl=1,Pleasant Hill,CA, 34903,http://www.ci.pleasant-hill.ca.us,2020-12-01
Cecilia Taylor,cttaylor@menlopark.org,650-330-6610,https://menlopark.org/directory.aspx?EID=235,https://i2.wp.com/secure.usmayors.org/mayorphotos/Taylor_Cecilia!54834.jpg?w=1100&ssl=1,Menlo Park,CA, 34549,http://www.menlopark.org,2020-12-22
Lester Friedman,lfriedman@beverlyhills.org,310-285-1013,http://www.beverlyhills.org/citymanager/mayorandcouncilmembers/mayorlesterfriedman/,https://i0.wp.com/secure.usmayors.org/mayorphotos/0034N00002iJCIb.jpg?w=1100&ssl=1,Beverly Hills,CA, 34183,http://www.beverlyhills.org,2021-03-30
Gabriel Reyes,greyes@ci.adelanto.ca.us,760-998-4123,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Reyes_Gabriel!54506.jpg?w=1100&ssl=1,Adelanto,CA, 34160,http://ci.adelanto.ca.us/,2022-11-08
Catherine Mahanpour,cmahanpour@fostercity.org,650-286-3501,https://www.fostercity.org/directory-listing/catherine-mahanpour,https://i2.wp.com/secure.usmayors.org/mayorphotos/Mahanpour_Catherine!54908.jpg?w=1100&ssl=1,Foster City,CA, 34151,http://www.fostercity.org,2020-12-01
Emmett Badar,ebadar@sandimasca.gov,909-394-6216,https://sandimasca.gov/emmett-badar-bio/,https://i0.wp.com/secure.usmayors.org/mayorphotos/0034N00002iS8ka.jpg?w=1100&ssl=1,San Dimas,CA, 33982,https://sandimasca.gov/,2022-03-08
Ian N. Oglesby,ioglesby@ci.seaside.ca.us,831-899-6700,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Oglesby_Ian!54547.jpg?w=1100&ssl=1,Seaside,CA, 33930,http://www.ci.seaside.ca.us,2020-11-03
Richard A. Viczorek,rviczorek@danapoint.org,949-248-3500,https://www.danapoint.org/department/city-council/richard-a-viczorek,https://i1.wp.com/secure.usmayors.org/mayorphotos/Viczorek_Richard!54971.jpg?w=1100&ssl=1,Dana Point,CA, 33730,http://www.danapoint.org,2021-01-01
Robert Pullen-Miles,rpmlawndale@aol.com,310-973-3214,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Pullen-Miles_Robert!2179.jpg?w=1100&ssl=1,Lawndale,CA, 32754,http://www.lawndalecity.org,2020-11-03
Steven W. Martin,smartin@prcity.com,805-227-7276,http://www.prcity.com/government/citycouncil/members.asp,https://i1.wp.com/secure.usmayors.org/mayorphotos/Martin_Steven!3500.jpg?w=1100&ssl=1,Paso Robles,CA, 32212,http://www.prcity.com,2022-11-08
Tim Hepburn,,714-981-7973,,https://i1.wp.com/secure.usmayors.org/mayorphotos/0034N00002lFxqt.jpg?w=1100&ssl=1,La Verne,CA, 32206,http://www.ci.la-verne.ca.us,2021-04-06
Daniela Andrade,dandrade@banningca.gov,951-237-2525,http://www.ci.banning.ca.us/367/Mayor---Daniela-Andrade,https://i0.wp.com/secure.usmayors.org/mayorphotos/Andrade_Daniela!54894.jpg?w=1100&ssl=1,Banning,CA, 31253,http://www.ci.banning.ca.us,2020-12-01
Janine Heft,ccouncil@ci.laguna-hills.ca.us,949-707-2610,https://www.lagunahillsca.gov/447/Janine-Heft-Mayor,https://i2.wp.com/secure.usmayors.org/mayorphotos/Heft_Janine!54918.jpg?w=1100&ssl=1,Laguna Hills,CA, 31024,http://www.ci.laguna-hills.ca.us,2020-12-01
Paula Perotte,pperotte@cityofgoleta.org,805-961-7536,http://www.cityofgoleta.org/city-hall/mayor-and-city-council/paula-perotte,https://i0.wp.com/secure.usmayors.org/mayorphotos/Perotte_Paula!53206.jpg?w=1100&ssl=1,Goleta,CA, 30821,http://www.cityofgoleta.org,2020-11-03
Marcia Jensen,mjensen@losgatosca.gov,408-354-6801,https://www.losgatosca.gov/DocumentCenter/View/16887/MJensenBiorevnov212019?bidId=,https://i1.wp.com/secure.usmayors.org/mayorphotos/Jensen_Marcia!54922.jpg?w=1100&ssl=1,Los Gatos,CA, 30680,http://www.town.los-gatos.ca.us,2020-12-01
Howard Miller,hmiller@saratoga.ca.us,408-802-4034,https://www.saratoga.ca.us/246/Howard-Miller,https://i2.wp.com/secure.usmayors.org/mayorphotos/Miller_Howard!54987.jpg?w=1100&ssl=1,Saratoga,CA, 30599,https://www.saratoga.ca.us,2021-01-01
Jan Pepper,jpepper@losaltosca.gov,650-947-2720,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Pepper_Jan!54976.jpg?w=1100&ssl=1,Los Altos,CA, 30531,http://www.losaltosca.gov,2021-01-01
Emily Beach,ebeach@burlingame.org,650-558-7200,https://www.burlingame.org/government/city_council/emily_beach.php,https://i2.wp.com/secure.usmayors.org/mayorphotos/0034N00002iS5tj.jpg?w=1100&ssl=1,Burlingame,CA, 30467,https://www.burlingame.org/,2020-12-01
Heather Moreno,hmoreno@atascadero.org,805-470-3400,https://www.atascadero.org/index.php?option=com_content&view=article&id=614&Itemid=571,https://i0.wp.com/secure.usmayors.org/mayorphotos/0034N00002lGWuR.jpg?w=1100&ssl=1,Atascadero,CA, 30330,https://www.atascadero.org,2020-11-03
Rick Araiza,info@ci.santa-paula.ca.us,805-525-4478,https://spcity.org/370/Rick-Araiza,https://i2.wp.com/secure.usmayors.org/mayorphotos/Araiza_Rick!54939.jpg?w=1100&ssl=1,Santa Paula,CA, 30011,http://www.ci.santa-paula.ca.us,2020-12-01
Bob Pacheco,bpacheco@cityofwalnut.org,909-595-7543,https://www.cityofwalnut.org/my-government/city-council/bob-pacheco,https://i0.wp.com/secure.usmayors.org/mayorphotos/Pacheco_Bob!3510.jpg?w=1100&ssl=1,Walnut,CA, 30006,https://www.cityofwalnut.org/,2021-07-06
Lori Wilson,lwilson@suisun.com,707-410-0585,https://www.suisun.com/government/city-council/mayor-lori-wilson/,https://i2.wp.com/secure.usmayors.org/mayorphotos/Wilson_Lori!2861.jpg?w=1100&ssl=1,Suisun City,CA, 29713,http://www.suisun.com,2022-11-08
Lisa Yarborough-Gauthier,lgauthier@cityofepa.org,650-853-3100,,https://i0.wp.com/secure.usmayors.org/mayorphotos/Gauthier_Lisa!1765.jpg?w=1100&ssl=1,East Palo Alto,CA, 29506,http://www.ci.east-palo-alto.ca.us,2020-12-01
Paul Creighton,pcreighton@atwater.org,209-357-6300,https://www.atwater.org/mayor-and-council/,https://i2.wp.com/secure.usmayors.org/mayorphotos/Creighton_Paul!1401.jpg?w=1100&ssl=1,Atwater,CA, 29397,http://www.atwater.org,2014-11-04
Dominic Foppoli,dfoppoli@townofwindsor.com,707-838-1000,https://www.townofwindsor.com/60/Dominic-Foppoli-Mayor,https://i1.wp.com/secure.usmayors.org/mayorphotos/Foppoli_Dominic!3065.jpg?w=1100&ssl=1,Windsor,CA, 27548,https://www.townofwindsor.com,2022-11-08
Serge Dedina,serge.dedina@imperialbeachca.gov,619-623-5975,https://www.imperialbeachca.gov/index.asp?SEC=33F83B96-8E4F-4480-B563-7F37DD285481&DE=BBBF2CBC-ADC8-46FF-BAB9-EB110ECFA182,https://i0.wp.com/secure.usmayors.org/mayorphotos/0036100001BJ033.jpg?w=1100&ssl=1,Imperial Beach,CA, 27418,https://www.imperialbeachca.gov,2019-11-05
Richard D. O'Brien,robrien@riverbank.org,209-863-7122,https://www.riverbank.org/Directory.aspx?EID=16,https://i1.wp.com/secure.usmayors.org/mayorphotos/OBrien_Richard!3606.jpg?w=1100&ssl=1,Riverbank,CA, 24780,http://www.riverbank.org,2020-11-03
Jose R. Gonzalez,jgonzalez@cityofcudahyca.gov,323-773-5143,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Gonzalez_Jose!1689.JPG?w=1100&ssl=1,Cudahy,CA, 24208,http://www.cityofcudahy.com,2019-12-01
Alicia Weintraub,aweintraub@cityofcalabasas.com,818-224-1605,https://www.cityofcalabasas.com/council/aweintraub-bio.html,https://i2.wp.com/secure.usmayors.org/mayorphotos/0034N00002dfR18.jpg?w=1100&ssl=1,Calabasas,CA, 23954,http://www.cityofcalabasas.com,2020-12-01
Richard Bailey,rbailey@coronado.ca.us,619-522-7335,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Bailey_Richard!1668.jpg?w=1100&ssl=1,Coronado,CA, 21390,http://www.coronado.ca.us,2020-11-03
Mark Waronek,waronek@yahoo.com,310-325-7110,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Waronek_Mark!2223.jpg?w=1100&ssl=1,Lomita,CA, 20046,http://www.lomita.com/cityhall,2017-12-01
Mary Campbell,mcampbell@hermosabeach.gov,310-214-0048,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Campbell_Mary!54769.jpg?w=1100&ssl=1,Hermosa Beach,CA, 19465,http://www.hermosabch.org,2020-11-24
Nick Pilch,npilch@albanyca.org,510-528-5710,,https://i0.wp.com/secure.usmayors.org/mayorphotos/0034N000034CUPc.jpg?w=1100&ssl=1,Albany,CA, 16444,http://www.albanyca.org,2010-11-02
Victor Manalo,vmanalo@cityofartesia.us,562-865-6262,http://www.cityofartesia.us/Directory.aspx?EID=6,https://i0.wp.com/secure.usmayors.org/mayorphotos/Manalo_Victor!45.jpg?w=1100&ssl=1,Artesia,CA, 16380,http://www.cityofartesia.us,2017-12-01
Chuck Reynolds,creynolds@cityoforoville.org,530-538-2535,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Reynolds_Chuck!54514.jpg?w=1100&ssl=1,Oroville,CA, 15566,http://cityoforoville.org,2022-11-08
Richard Sun,rsun@cityofsanmarino.org,626-300-0700,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Sun_Richard!53196.jpg?w=1100&ssl=1,San Marino,CA, 13147,http://CityofSanMarino.org,2017-12-01
Lou La Monte,jhouse@ci.malibu.ca.us,310-456-0180,https://www.malibucity.org/directory.aspx?EID=2,https://i0.wp.com/secure.usmayors.org/mayorphotos/LaMonte_Lou!2258.jpg?w=1100&ssl=1,Malibu,CA, 12575,http://www.ci.malibu.ca.us,2017-04-17
John J Bauters,jbauters@emeryville.org,,,https://i0.wp.com/community.usmayors.org/resource/CommunityAssets/assets/images/people/50/Avatar.jpg?w=1100&ssl=1,Emeryville,CA, 11671,http://www.ci.emeryville.ca.us,2020-12-01
Jeff Wieler,jwieler@piedmont.ca.gov,,,https://i0.wp.com/community.usmayors.org/resource/CommunityAssets/assets/images/people/50/Avatar.jpg?w=1100&ssl=1,Piedmont,CA, 11353,http://www.ci.piedmont.ca.us,2018-02-06
Logan Harvey,logan.harvey@sonomacity.org,707-347-6496,,https://i1.wp.com/secure.usmayors.org/mayorphotos/0034N000030fUjA.jpg?w=1100&ssl=1,Sonoma,CA, 11108,http://sonomacity.org,2019-12-01
Gus Wolter,gwolter@ci.cloverdale.ca.us,,,https://i2.wp.com/secure.usmayors.org/mayorphotos/0034N00003492uF.jpg?w=1100&ssl=1,Cloverdale,CA, 8878,,2020-10-19
Geoff Ellsworth,gellsworth@cityofsthelena.org,323-691-9621,https://sthelena.civicweb.net/portal/members.aspx?id=10,https://i0.wp.com/secure.usmayors.org/mayorphotos/Ellsworth_Geoff!54761.jpg?w=1100&ssl=1,St. Helena,CA, 6196,https://www.cityofsthelena.org,2020-10-19
Chris Canning,ccanning@ci.calistoga.ca.us,707-815-2105,http://www.ci.calistoga.ca.us/city-hall/city-council/about-us,https://i2.wp.com/secure.usmayors.org/mayorphotos/Canning_Chris!54717.jpg?w=1100&ssl=1,Calistoga,CA, 5322,http://www.ci.calistoga.ca.us,2020-11-03
Marshall Anstandig,manstandig@cityofmontesereno.org,,,https://i0.wp.com/community.usmayors.org/resource/CommunityAssets/assets/images/people/50/Avatar.jpg?w=1100&ssl=1,Monte Sereno,CA, 3554,http://www.montesereno.org,2020-10-19
John F. Dunbar,jdunbar@yville.com,707-948-2637,https://www.townofyountville.com/council/mayor-and-council-members-bios,https://i2.wp.com/secure.usmayors.org/mayorphotos/Dunbar_John!3139.jpg?w=1100&ssl=1,Yountville,CA, 2982,http://www.townofyountville.com,2022-11-08
Michael B. Hancock,mayorsoffice@denvergov.org,720-865-9090,https://www.denvergov.org/content/denvergov/en/mayors-office/about-the-office-of-the-mayor.html,https://i2.wp.com/secure.usmayors.org/mayorphotos/0036100000IFg8xAAD.jpg?w=1100&ssl=1,Denver,CO, 716492,http://www.denvergov.org,2023-05-09
John Suthers,jsuthers@springsgov.com,719-385-5900,https://coloradosprings.gov/government/general-information/mayors-office/mayor-john-suthers,https://i1.wp.com/secure.usmayors.org/mayorphotos/Suthers_John!233.JPG?w=1100&ssl=1,Colorado Springs,CO, 472688,http://coloradosprings.gov,2023-04-04
Mike Coffman,mcoffman@auroragov.org,303-739-7010,https://www.auroragov.org/cms/One.aspx?portalId=1881221&pageId=16246438,https://i0.wp.com/secure.usmayors.org/mayorphotos/Coffman_Mike!54792.jpg?w=1100&ssl=1,Aurora,CO, 374114,http://www.auroragov.org,2023-11-07
Wade Troxell,wtroxell@fcgov.com,970-219-8940,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Troxell_Wade!398.JPG?w=1100&ssl=1,Fort Collins,CO, 167830,http://www.fcgov.com,2021-04-06
Adam A. Paul,apaul@lakewood.org,303-987-7040,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Paul_Adam!609.jpg?w=1100&ssl=1,Lakewood,CO, 156798,http://www.lakewood.org,2023-11-07
Janifer Kulmann,jan.kulmann@thorntonco.gov,303-538-7531,https://www.thorntonco.gov/government/city-council/Pages/mayor.aspx,https://i2.wp.com/secure.usmayors.org/mayorphotos/Kulmann_Janifer!54819.jpg?w=1100&ssl=1,Thornton,CO, 139436,http://www.cityofthornton.net,2023-11-07
Marc Williams,mwilliams@arvada.org,720-898-7000,http://arvada.org/government/marc-williams-mayor,https://i0.wp.com/secure.usmayors.org/mayorphotos/Williams_Marc!46.JPG?w=1100&ssl=1,Arvada,CO, 120492,http://www.arvada.org,2023-11-07
Herb Atchison,herb.atchison@netzero.com,303-915-5625,http://www.ci.westminster.co.us/CityGovernment/CityCouncil/HerbAtchisonMayor.aspx,https://i2.wp.com/secure.usmayors.org/mayorphotos/Atchison_Herb!1268.jpg?w=1100&ssl=1,Westminster,CO, 113479,http://www.ci.westminster.co.us,2021-11-02
Nicholas A. Gradisar,ngradisar@pueblo.us,719-924-5449,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Gradisar_Nicholas!54656.jpg?w=1100&ssl=1,Pueblo,CO, 111750,http://www.pueblogov.com,2022-11-08
Stephanie Piko,spiko@centennialco.gov,303-754-3350,http://www.centennialco.gov/Mayor-Council/stephanie-piko.aspx,https://i0.wp.com/secure.usmayors.org/mayorphotos/Piko_Stephanie!53980.jpg?w=1100&ssl=1,Centennial,CO, 110831,http://www.centennialco.gov,2021-11-02
